ssn,last_updated,created
179-88-2790,2017-03-23T01:30:12Z,2016-03-06T13:15:20Z
181-07-4434,2017-10-07T07:52:10Z,2016-11-11T20:19:19Z
181-28-8337,2017-11-30T23:28:00Z,2016-04-27T20:53:49Z
181-88-6077,2017-08-16T21:35:50Z,2016-09-15T10:22:56Z
182-15-5082,2017-10-02T06:22:27Z,2016-10-16T12:16:53Z
182-81-4541,2017-07-05T10:19:41Z,2016-07-23T03:16:13Z
183-10-5024,2017-11-03T00:36:20Z,2016-09-08T05:10:46Z
184-60-6243,2018-02-26T15:42:50Z,2016-06-16T15:17:46Z
184-84-1003,2017-10-15T21:11:17Z,2016-11-17T18:52:56Z
184-92-3560,2017-02-16T04:37:08Z,2016-07-26T19:25:30Z
184-94-5241,2017-03-28T16:56:35Z,2016-06-03T05:38:20Z
185-50-0434,2017-02-19T15:12:50Z,2016-10-24T14:03:04Z
185-84-9868,2017-07-01T13:56:28Z,2016-08-08T08:04:45Z
186-65-7773,2017-06-09T12:34:32Z,2016-09-17T22:55:15Z
188-20-9317,2017-12-26T05:29:23Z,2016-06-05T04:26:52Z
188-40-4336,2017-12-27T03:41:46Z,2016-06-30T02:48:10Z
189-26-5696,2017-08-08T19:29:59Z,2016-09-09T19:38:18Z
189-49-1458,2017-02-12T16:15:44Z,2016-06-21T04:10:57Z
190-05-6987,2017-06-06T20:51:23Z,2016-02-17T12:00:16Z
190-53-4517,2018-02-12T20:26:30Z,2016-04-15T16:42:18Z
191-15-3194,2017-07-27T09:14:42Z,2016-05-23T13:52:39Z
192-54-0695,2017-03-18T06:05:59Z,2016-11-16T01:58:55Z
192-67-3201,2017-01-19T20:59:49Z,2016-06-13T01:23:53Z
194-76-5816,2017-01-16T18:22:53Z,2016-05-26T16:11:14Z
195-23-5731,2017-05-22T16:24:23Z,2016-10-23T11:15:03Z
196-69-3796,2017-01-23T02:41:20Z,2016-08-01T21:34:06Z
198-70-6443,2017-02-13T07:16:31Z,2016-01-22T05:10:14Z
199-45-0804,2017-06-23T12:59:20Z,2016-11-07T00:25:12Z
199-54-4639,2018-02-23T10:14:54Z,2016-04-05T05:11:13Z
200-81-7151,2017-11-19T13:58:42Z,2016-07-31T19:02:12Z
201-53-1249,2017-11-25T14:19:29Z,2016-10-07T18:42:12Z
202-84-1146,2017-04-01T22:01:53Z,2016-07-21T08:10:25Z
203-35-7648,2017-12-01T14:42:14Z,2016-08-02T14:24:12Z
205-69-7375,2018-02-27T13:25:24Z,2016-05-19T12:10:37Z
205-87-2423,2018-01-01T08:17:27Z,2016-02-16T23:45:38Z
206-28-6674,2017-10-14T06:32:53Z,2016-08-01T08:02:52Z
206-83-8848,2017-11-08T14:57:17Z,2016-04-11T17:40:42Z
208-74-2166,2017-01-24T09:46:24Z,2016-02-28T08:58:53Z
208-80-5879,2017-10-16T21:39:04Z,2016-03-31T17:04:29Z
209-50-8146,2018-03-13T17:52:16Z,2016-04-10T07:14:25Z
209-58-4708,2018-02-08T21:22:02Z,2016-06-17T09:21:14Z
210-91-4729,2017-07-11T08:17:40Z,2016-12-04T00:41:08Z
211-04-1734,2018-03-11T20:29:12Z,2016-08-30T15:59:14Z
211-13-5247,2018-02-22T16:37:12Z,2016-12-20T03:14:56Z
211-15-5182,2017-04-15T16:17:42Z,2016-03-17T19:14:56Z
211-19-6826,2018-02-12T04:33:14Z,2016-08-25T22:00:15Z
212-40-0215,2017-02-01T18:11:47Z,2016-01-06T22:31:22Z
212-41-1496,2017-07-07T20:29:09Z,2016-10-27T12:47:10Z
213-28-1395,2017-06-04T04:51:16Z,2016-06-11T00:06:58Z
214-29-1189,2018-02-16T08:10:36Z,2016-06-02T00:48:02Z
214-96-8581,2017-04-30T07:25:59Z,2016-08-18T00:21:07Z
214-99-7584,2018-02-22T11:32:50Z,2016-07-14T03:30:15Z
216-89-3812,2018-03-11T20:02:23Z,2016-07-28T07:03:44Z
216-97-3104,2017-02-10T18:28:09Z,2016-09-06T08:20:10Z
217-71-3922,2017-11-11T19:44:46Z,2016-03-04T12:33:51Z
217-81-5416,2017-12-27T18:15:59Z,2016-11-20T02:39:48Z
218-14-4448,2017-07-22T09:16:18Z,2016-06-29T06:28:37Z
218-25-9873,2017-05-11T20:22:10Z,2016-03-11T12:58:01Z
218-31-1615,2017-08-03T08:57:27Z,2016-05-14T20:04:01Z
218-49-7300,2017-12-22T19:46:19Z,2016-09-17T05:14:16Z
220-16-0476,2017-03-09T16:48:29Z,2016-07-04T06:40:49Z
220-38-0208,2017-11-10T15:06:25Z,2016-10-28T19:34:21Z
222-39-8571,2017-02-03T23:45:13Z,2016-10-04T00:52:58Z
223-67-9203,2017-08-04T12:57:04Z,2016-12-02T13:29:54Z
223-98-0846,2017-03-29T16:07:06Z,2016-06-29T02:47:31Z
224-12-3436,2018-01-09T23:34:10Z,2016-10-06T12:21:57Z
224-30-9267,2017-12-17T11:57:56Z,2016-11-13T20:27:10Z
224-54-6919,2017-02-11T17:13:36Z,2016-01-30T09:03:19Z
224-84-2271,2018-01-23T21:14:49Z,2016-06-14T13:25:45Z
224-99-0668,2017-04-01T17:51:23Z,2016-01-03T06:43:07Z
225-08-5789,2017-08-05T11:29:59Z,2016-04-01T16:56:12Z
225-64-2735,2017-12-24T21:44:27Z,2016-07-16T23:01:13Z
226-76-4452,2017-07-08T12:13:02Z,2016-03-18T00:10:46Z
227-72-7247,2017-12-04T07:32:34Z,2016-08-03T15:37:18Z
228-16-7922,2017-08-07T02:28:53Z,2016-10-08T19:36:43Z
228-55-2042,2017-01-17T20:05:40Z,2016-03-08T17:42:55Z
228-90-5077,2018-02-26T10:52:03Z,2016-05-06T09:54:01Z
229-44-9909,2017-06-21T05:51:08Z,2016-12-29T08:27:03Z
230-09-1794,2018-01-27T21:49:27Z,2016-10-22T14:54:05Z
230-48-0684,2018-03-26T06:15:57Z,2016-12-29T06:00:03Z
230-99-1485,2017-08-10T19:34:42Z,2016-09-19T22:26:22Z
231-66-9264,2017-04-07T22:50:50Z,2016-06-01T08:10:38Z
232-18-5397,2017-09-23T02:16:56Z,2016-02-20T04:33:02Z
233-27-2377,2018-01-31T09:38:49Z,2016-02-13T21:32:41Z
235-10-3518,2017-08-08T16:14:22Z,2016-08-09T12:36:49Z
236-31-8333,2017-01-03T13:02:01Z,2016-01-16T12:51:28Z
236-37-2567,2017-09-01T17:59:05Z,2016-03-01T16:19:30Z
237-48-6737,2017-01-22T14:20:20Z,2016-10-19T13:28:28Z
237-80-7039,2017-06-20T05:20:53Z,2016-09-05T21:02:03Z
238-13-8034,2017-05-09T01:16:29Z,2016-02-17T14:44:51Z
238-39-9999,2017-12-17T18:36:23Z,2016-10-20T04:17:23Z
239-09-9133,2018-01-28T02:19:09Z,2016-08-04T10:29:19Z
239-37-4122,2017-09-20T20:47:44Z,2016-03-05T09:16:37Z
240-08-8805,2017-02-10T12:14:31Z,2016-08-15T20:52:10Z
240-32-8915,2017-04-18T14:30:22Z,2016-02-25T19:04:17Z
240-67-6258,2017-10-17T17:08:33Z,2016-05-24T09:11:51Z
242-22-9624,2017-03-31T04:48:46Z,2016-11-15T23:09:12Z
243-37-9496,2017-05-05T06:46:09Z,2016-09-27T00:48:56Z
243-44-4611,2017-08-28T04:20:56Z,2016-07-29T20:21:30Z
244-34-2210,2017-12-30T09:16:58Z,2016-11-12T19:43:59Z
244-52-7593,2017-12-19T22:53:28Z,2016-09-24T23:02:28Z
244-79-3004,2017-09-08T09:13:42Z,2016-08-17T18:53:29Z
244-81-0671,2017-06-23T11:56:59Z,2016-09-08T08:33:21Z
245-60-5880,2017-04-05T20:44:03Z,2016-02-06T03:16:59Z
245-77-4110,2017-03-06T05:50:56Z,2016-08-22T04:57:23Z
247-08-9326,2017-10-20T03:18:53Z,2016-09-15T04:25:48Z
247-86-5288,2017-08-07T13:12:28Z,2016-01-13T05:54:25Z
248-07-9757,2018-02-25T14:10:22Z,2016-01-25T22:14:58Z
248-23-0150,2017-03-06T02:07:51Z,2016-08-27T12:22:11Z
249-19-5514,2017-11-18T07:03:15Z,2016-07-23T19:17:37Z
253-61-8401,2018-01-22T04:02:01Z,2016-10-02T02:18:55Z
254-10-6071,2017-07-27T08:15:23Z,2016-04-01T23:46:56Z
254-92-9669,2017-06-27T08:31:24Z,2016-04-08T21:14:39Z
255-81-0958,2017-01-14T01:34:12Z,2016-09-09T15:46:19Z
256-54-7507,2017-03-06T04:47:24Z,2016-04-05T12:48:34Z
256-57-0666,2017-10-08T02:05:59Z,2016-09-30T19:42:52Z
257-12-6834,2018-03-27T21:18:39Z,2016-11-24T09:46:05Z
257-59-8603,2017-04-12T07:13:58Z,2016-06-07T14:41:15Z
257-77-3669,2017-07-29T13:33:21Z,2016-11-30T14:43:14Z
258-22-6416,2017-04-28T01:14:30Z,2016-05-07T18:26:17Z
259-38-5920,2017-07-23T21:02:37Z,2016-10-04T09:08:54Z
261-14-9490,2017-01-26T12:19:19Z,2016-04-23T09:00:56Z
262-09-2144,2018-01-07T08:54:01Z,2016-07-26T12:00:47Z
262-46-7573,2017-11-03T02:47:17Z,2016-08-22T17:08:16Z
262-55-4066,2017-06-03T10:15:39Z,2016-12-20T09:49:37Z
262-66-7030,2018-01-23T23:44:35Z,2016-03-22T03:08:03Z
264-39-3910,2017-10-05T03:39:11Z,2016-08-12T08:53:33Z
266-86-9980,2018-02-19T20:34:09Z,2016-07-07T05:06:40Z
267-75-6383,2017-01-18T03:02:58Z,2016-05-12T18:05:24Z
269-01-2640,2017-11-23T14:20:56Z,2016-09-09T08:12:54Z
271-04-0134,2017-05-14T07:18:59Z,2016-08-02T17:22:46Z
271-81-9938,2017-01-29T01:31:37Z,2016-08-16T06:47:48Z
271-93-3051,2017-02-18T16:44:02Z,2016-06-08T11:36:44Z
272-50-7309,2017-03-20T05:38:57Z,2016-02-24T17:32:46Z
272-81-7979,2018-01-14T21:06:05Z,2016-06-04T03:09:24Z
273-49-8218,2017-09-09T05:26:20Z,2016-09-27T00:05:15Z
274-50-3806,2017-05-13T05:08:51Z,2016-06-03T03:07:43Z
274-76-9883,2017-10-09T04:11:03Z,2016-12-22T11:44:48Z
276-05-2973,2017-11-03T05:30:21Z,2016-03-21T11:51:10Z
278-55-5842,2018-01-02T05:17:17Z,2016-05-01T08:36:52Z
278-64-4853,2017-12-17T20:59:08Z,2016-07-10T13:32:27Z
279-12-7167,2017-03-17T17:36:17Z,2016-08-06T01:23:43Z
279-40-5540,2017-08-25T15:27:27Z,2016-07-27T23:55:42Z
279-49-5682,2017-11-27T07:44:58Z,2016-11-09T19:42:41Z
280-53-7447,2017-05-12T07:46:05Z,2016-02-16T00:15:21Z
280-98-4410,2017-08-10T14:59:08Z,2016-10-11T07:49:19Z
281-23-3458,2017-06-21T09:17:37Z,2016-02-18T05:27:00Z
282-83-9206,2017-11-30T02:29:14Z,2016-10-11T01:11:32Z
283-04-6835,2017-05-29T02:43:42Z,2016-05-17T15:07:44Z
286-26-4004,2017-07-06T13:34:13Z,2016-07-15T11:24:21Z
287-57-9688,2017-03-25T16:51:30Z,2016-04-04T10:16:41Z
287-66-2660,2018-01-08T05:09:53Z,2016-01-03T15:12:03Z
288-54-7233,2017-04-09T03:49:03Z,2016-01-13T21:17:03Z
288-87-6462,2017-04-28T05:43:04Z,2016-06-11T06:48:08Z
289-03-9882,2017-06-29T11:35:32Z,2016-04-30T10:02:41Z
289-09-8686,2017-09-15T01:56:26Z,2016-05-18T01:46:32Z
290-25-7300,2017-04-13T06:02:34Z,2016-11-25T16:46:39Z
290-82-4968,2017-07-03T20:17:20Z,2016-03-11T04:18:51Z
293-54-3694,2017-07-10T11:18:54Z,2016-08-18T20:59:31Z
294-27-9936,2018-02-07T23:28:14Z,2016-09-14T04:10:51Z
294-53-1911,2018-03-08T15:24:15Z,2016-07-22T21:42:17Z
295-63-7693,2017-02-28T11:27:31Z,2016-01-07T04:36:56Z
296-32-7910,2017-05-08T14:27:35Z,2016-11-18T18:55:41Z
296-88-0097,2017-06-28T19:41:12Z,2016-01-01T23:18:36Z
296-90-4908,2017-05-08T13:53:40Z,2016-04-12T00:23:09Z
297-63-1154,2018-01-18T23:20:37Z,2016-03-03T14:10:01Z
298-06-3497,2017-10-24T04:25:01Z,2016-11-06T17:11:40Z
298-69-9168,2017-10-11T23:18:49Z,2016-10-30T00:58:22Z
298-70-6018,2018-02-12T10:05:39Z,2016-03-28T09:53:54Z
298-79-7640,2017-11-27T00:08:54Z,2016-11-08T08:09:05Z
299-03-6911,2017-01-19T03:33:50Z,2016-03-07T15:33:32Z
299-38-0483,2017-09-20T16:34:47Z,2016-06-01T09:06:19Z
299-77-1060,2017-03-13T01:59:12Z,2016-11-01T03:27:51Z
300-59-3610,2017-08-21T10:01:31Z,2016-06-23T04:44:22Z
300-76-8770,2017-08-21T00:03:14Z,2016-03-13T15:45:07Z
300-80-7209,2017-11-13T01:58:56Z,2016-11-08T03:17:04Z
301-26-4306,2017-06-20T20:49:12Z,2016-01-25T11:01:19Z
301-51-0522,2017-07-03T16:20:32Z,2016-07-28T02:33:50Z
302-64-4858,2018-02-22T14:59:17Z,2016-05-04T18:49:04Z
304-48-4312,2017-06-08T17:56:34Z,2016-07-23T15:40:08Z
305-07-1498,2017-06-18T05:38:20Z,2016-01-31T18:06:58Z
306-23-2423,2018-02-11T01:37:08Z,2016-09-12T02:41:26Z
306-86-2930,2017-05-10T18:03:52Z,2016-09-15T15:20:35Z
308-58-0964,2017-06-13T11:53:43Z,2016-09-29T22:38:39Z
309-04-0364,2018-03-23T00:53:44Z,2016-01-18T03:37:59Z
309-38-8085,2017-10-15T02:43:14Z,2016-05-12T11:34:16Z
310-60-2027,2018-03-20T12:53:17Z,2016-10-25T03:04:20Z
311-46-9296,2018-02-18T15:38:24Z,2016-08-06T19:03:48Z
312-38-7084,2017-08-07T14:33:15Z,2016-12-01T17:51:41Z
312-59-3476,2017-06-05T16:36:40Z,2016-06-11T17:37:47Z
312-77-3647,2017-04-30T02:56:29Z,2016-01-13T20:57:51Z
313-02-7822,2017-10-07T16:22:13Z,2016-12-09T03:16:22Z
313-52-7312,2017-11-27T22:37:28Z,2016-06-09T16:42:48Z
315-12-5664,2017-06-11T18:03:12Z,2016-05-19T13:58:32Z
315-26-2241,2017-11-27T08:16:19Z,2016-05-27T06:53:31Z
315-44-9671,2018-03-12T23:39:35Z,2016-10-19T09:51:09Z
315-78-5587,2017-08-20T18:09:02Z,2016-01-17T12:12:42Z
317-28-1600,2017-12-19T02:20:21Z,2016-10-06T03:35:19Z
317-43-2055,2017-12-26T16:31:21Z,2016-09-18T19:55:52Z
318-58-5314,2017-03-19T17:31:18Z,2016-11-27T19:18:57Z
319-43-0465,2018-03-08T08:22:23Z,2016-10-30T00:03:54Z
320-90-1419,2017-08-01T15:03:18Z,2016-05-21T16:46:58Z
320-97-9147,2017-11-27T02:56:43Z,2016-12-30T02:58:10Z
323-28-6705,2017-07-06T08:58:57Z,2016-09-23T12:24:33Z
323-33-8689,2018-02-06T11:18:46Z,2016-01-30T06:55:54Z
324-39-5230,2017-12-12T18:34:16Z,2016-08-10T15:08:01Z
324-73-8895,2018-01-31T14:40:37Z,2016-01-31T04:08:41Z
324-75-6098,2017-03-22T10:39:27Z,2016-11-29T05:09:44Z
326-64-9957,2017-01-28T20:25:31Z,2016-05-21T04:05:26Z
327-52-0546,2017-11-09T16:00:25Z,2016-06-13T20:55:47Z
327-88-7554,2017-11-24T22:24:17Z,2016-10-12T09:25:25Z
330-99-3055,2017-03-15T02:08:35Z,2016-06-13T06:58:21Z
332-83-6591,2017-06-01T21:27:02Z,2016-06-26T19:28:44Z
333-52-5097,2017-08-07T15:22:28Z,2016-10-17T19:38:37Z
333-95-5025,2017-08-28T15:13:59Z,2016-05-25T23:33:03Z
335-35-1520,2017-01-29T15:44:57Z,2016-11-26T07:21:10Z
336-48-2579,2018-03-02T16:26:48Z,2016-04-28T19:21:15Z
339-27-8046,2017-12-12T18:26:28Z,2016-04-09T03:13:49Z
339-71-2687,2017-10-22T21:42:38Z,2016-12-18T12:54:08Z
341-10-6840,2017-03-06T16:50:04Z,2016-06-04T11:29:46Z
342-05-9057,2017-03-23T06:34:05Z,2016-07-19T05:33:42Z
342-55-0538,2017-08-30T11:09:11Z,2016-01-01T10:27:44Z
342-90-9333,2017-12-02T09:54:57Z,2016-06-17T11:46:24Z
343-20-8407,2017-12-20T04:35:07Z,2016-05-11T02:02:53Z
343-81-3179,2017-10-17T18:21:38Z,2016-03-06T17:25:34Z
345-74-2160,2018-02-04T04:08:54Z,2016-07-13T23:35:12Z
347-09-3254,2017-06-30T00:52:15Z,2016-08-15T10:51:18Z
347-64-8652,2017-05-23T11:28:05Z,2016-12-30T03:51:10Z
348-73-4312,2017-09-13T10:31:30Z,2016-12-14T21:16:27Z
348-74-3224,2018-02-04T18:12:54Z,2016-05-11T22:14:46Z
349-53-8864,2017-12-27T21:15:03Z,2016-01-28T10:14:46Z
349-67-7502,2018-02-16T04:12:54Z,2016-01-12T23:12:17Z
350-20-9593,2018-02-10T22:55:27Z,2016-04-12T21:01:21Z
350-80-4646,2017-08-23T16:52:47Z,2016-05-28T08:33:21Z
351-73-2802,2017-08-11T07:49:34Z,2016-09-03T02:20:26Z
355-21-9711,2017-11-01T23:00:15Z,2016-04-22T13:52:40Z
355-52-9767,2018-03-20T23:03:28Z,2016-09-25T21:05:36Z
355-96-7706,2017-10-25T11:22:28Z,2016-03-05T08:16:19Z
356-39-9199,2017-12-04T23:53:17Z,2016-01-28T06:55:58Z
357-37-6094,2018-02-13T05:16:10Z,2016-04-26T04:10:52Z
358-84-7049,2017-02-09T07:24:45Z,2016-02-21T00:13:44Z
360-69-6230,2017-05-27T08:53:14Z,2016-12-14T18:01:16Z
361-06-1530,2017-05-06T15:05:47Z,2016-01-21T23:06:03Z
361-42-7068,2018-02-04T13:38:12Z,2016-09-07T15:20:13Z
361-49-4597,2017-11-22T09:17:58Z,2016-12-20T11:29:30Z
361-83-5004,2017-08-11T21:27:23Z,2016-12-24T03:19:11Z
362-09-8563,2017-02-07T23:59:48Z,2016-07-04T03:26:36Z
362-12-7902,2017-04-13T22:21:36Z,2016-07-11T07:18:59Z
364-25-0166,2017-10-23T16:31:42Z,2016-04-29T17:41:02Z
364-65-2174,2017-05-22T04:28:40Z,2016-05-30T08:50:02Z
366-61-0607,2017-12-27T23:53:19Z,2016-03-28T15:11:41Z
367-22-8998,2017-12-11T17:58:01Z,2016-05-13T12:00:26Z
367-62-4426,2017-05-26T03:01:24Z,2016-09-06T12:15:56Z
370-01-6977,2017-01-16T16:48:28Z,2016-06-17T10:50:49Z
370-24-5876,2018-03-10T11:48:29Z,2016-10-18T08:30:53Z
370-72-6509,2017-04-26T02:36:25Z,2016-10-28T04:26:21Z
371-28-5892,2017-10-23T05:51:02Z,2016-11-01T11:00:34Z
371-44-0582,2017-10-23T21:19:07Z,2016-12-12T22:59:07Z
371-62-3727,2017-07-26T23:48:15Z,2016-08-16T08:13:41Z
371-88-9249,2017-03-05T20:51:30Z,2016-09-15T17:57:18Z
372-44-7487,2017-10-01T03:00:17Z,2016-05-15T22:58:12Z
372-62-7057,2017-10-21T15:41:50Z,2016-07-20T20:09:24Z
373-67-2734,2017-09-12T01:34:15Z,2016-07-01T08:51:19Z
374-47-0262,2017-04-27T16:48:00Z,2016-07-20T09:51:17Z
378-08-0805,2017-01-15T07:10:09Z,2016-09-04T16:17:45Z
378-60-2472,2017-08-22T22:37:19Z,2016-11-10T10:11:19Z
378-66-0449,2018-03-12T22:26:57Z,2016-10-30T23:22:07Z
378-79-0193,2017-04-15T16:31:52Z,2016-01-26T16:53:16Z
378-88-6805,2017-07-04T17:16:15Z,2016-09-25T08:10:22Z
379-07-8748,2018-01-12T10:47:39Z,2016-01-16T03:56:28Z
380-33-9730,2017-04-03T02:41:45Z,2016-02-23T00:21:09Z
380-35-3854,2017-02-17T21:55:47Z,2016-07-31T20:06:38Z
